CustomerID,Product,TransactionID,Gender,Quantity,Amount,City,SalesTime,Category
CID00001,Yoga Mat,TX000001,Female,2,109.63,Jimma,2024-01-01 00:00:00,Sports
CID00002,Samsung Galaxy S23,TX000002,Female,5,11.66,Jimma,2024-01-01 01:00:00,Electronics
CID00003,TCL Smart TV,TX000003,Male,9,266.17,Jimma,2024-01-01 02:00:00,Electronics
CID00004,Blender Bottle,TX000004,Male,1,166.9,Jimma,2024-01-01 03:00:00,Groceries
CID00005,Maybelline Mascara,TX000005,Male,3,101.54,Bahir Dar,2024-01-01 04:00:00,Beauty
CID00006,Wilson Tennis Racket,TX000006,Female,3,233.93,Addis Ababa,2024-01-01 05:00:00,Sports
CID00007,Sony Bravia 4K TV,TX000007,Male,6,114.18,Dire Dawa,2024-01-01 06:00:00,Electronics
CID00008,Fitbit Charge 5,TX000008,Female,2,281.87,Bahir Dar,2024-01-01 07:00:00,Electronics
CID00009,Bose SoundLink Speaker,TX000009,Female,2,37.15,Jimma,2024-01-01 08:00:00,Electronics
CID00010,Samsung Smartwatch,TX000010,Female,4,394.38,Adama,2024-01-01 09:00:00,Electronics
CID00011,Vitamix Blender,TX000011,Male,4,158.2,Jimma,2024-01-01 10:00:00,Home Appliances
CID00012,Samsung Galaxy S23,TX000012,Male,8,69.0,Adama,2024-01-01 11:00:00,Electronics
CID00013,Vitamix Blender,TX000013,Male,7,409.21,Bahir Dar,2024-01-01 12:00:00,Home Appliances
CID00014,Philips Hue Smart Bulbs,TX000014,Female,5,452.53,Addis Ababa,2024-01-01 13:00:00,Home Appliances
CID00015,iPhone 14,TX000015,Female,6,184.78,Adama,2024-01-01 14:00:00,Electronics
CID00016,iPhone 14,TX000016,Female,9,465.79,Bahir Dar,2024-01-01 15:00:00,Electronics
CID00017,Office Chair,TX000017,Male,1,132.53,Jimma,2024-01-01 16:00:00,Furniture
CID00018,Bose QuietComfort 35,TX000018,Female,3,188.12,Bahir Dar,2024-01-01 17:00:00,Electronics
CID00019,KitchenAid Mixer,TX000019,Male,8,84.38,Addis Ababa,2024-01-01 18:00:00,Home Appliances
CID00020,Nintendo Switch,TX000020,Male,6,143.11,Adama,2024-01-01 19:00:00,Toys
CID00021,L’Oreal Face Cream,TX000021,Male,7,68.9,Jimma,2024-01-01 20:00:00,Beauty
CID00022,Samsung Smartwatch,TX000022,Male,1,57.03,Addis Ababa,2024-01-01 21:00:00,Electronics
CID00023,Asus ROG Gaming Laptop,TX000023,Male,8,109.47,Jimma,2024-01-01 22:00:00,Electronics
CID00024,GoPro Hero 11,TX000024,Female,8,179.43,Bahir Dar,2024-01-01 23:00:00,Electronics
CID00025,Fossil Watch,TX000025,Female,6,457.29,Bahir Dar,2024-01-02 00:00:00,Accessories
CID00026,Vitamix Blender,TX000026,Female,8,426.36,Jimma,2024-01-02 01:00:00,Home Appliances
CID00027,Levi’s 501 Jeans,TX000027,Female,3,161.23,Addis Ababa,2024-01-02 02:00:00,Clothing
CID00028,Monopoly Board Game,TX000028,Female,8,107.9,Bahir Dar,2024-01-02 03:00:00,Toys
CID00029,Yoga Mat,TX000029,Male,4,485.31,Adama,2024-01-02 04:00:00,Sports
CID00030,Levi’s 501 Jeans,TX000030,Female,9,62.55,Jimma,2024-01-02 05:00:00,Clothing
CID00031,Samsung Smartwatch,TX000031,Female,7,135.65,Adama,2024-01-02 06:00:00,Electronics
CID00032,Nike Air Max,TX000032,Male,9,367.18,Jimma,2024-01-02 07:00:00,Clothing
CID00033,Samsung Smartwatch,TX000033,Male,4,157.88,Bahir Dar,2024-01-02 08:00:00,Electronics
CID00034,Fossil Watch,TX000034,Female,3,113.68,Bahir Dar,2024-01-02 09:00:00,Accessories
CID00035,Harry Potter Box Set,TX000035,Male,7,345.63,Dire Dawa,2024-01-02 10:00:00,Books
CID00036,Yoga Mat,TX000036,Male,4,82.8,Dire Dawa,2024-01-02 11:00:00,Sports
CID00037,Nike Air Max,TX000037,Male,5,132.73,Bahir Dar,2024-01-02 12:00:00,Clothing
CID00038,Dell XPS 13 Laptop,TX000038,Female,7,431.93,Bahir Dar,2024-01-02 13:00:00,Electronics
CID00039,Fitbit Charge 5,TX000039,Female,9,273.91,Hawassa,2024-01-02 14:00:00,Electronics
CID00040,Wilson Tennis Racket,TX000040,Male,1,347.7,Hawassa,2024-01-02 15:00:00,Sports
CID00041,Under Armour Hoodie,TX000041,Female,2,364.51,Hawassa,2024-01-02 16:00:00,Clothing
CID00042,iPhone 14,TX000042,Male,9,313.05,Addis Ababa,2024-01-02 17:00:00,Electronics
CID00043,Car Seat Cover,TX000043,Male,6,413.4,Adama,2024-01-02 18:00:00,Automotive
CID00044,Levi’s Jacket,TX000044,Male,1,225.26,Jimma,2024-01-02 19:00:00,Clothing
CID00045,L’Oreal Face Cream,TX000045,Female,3,237.83,Hawassa,2024-01-02 20:00:00,Beauty
CID00046,KitchenAid Mixer,TX000046,Female,7,497.18,Bahir Dar,2024-01-02 21:00:00,Home Appliances
CID00047,Sony Bravia 4K TV,TX000047,Female,8,435.83,Hawassa,2024-01-02 22:00:00,Electronics
CID00048,Dell XPS 13 Laptop,TX000048,Male,9,370.51,Adama,2024-01-02 23:00:00,Electronics
CID00049,Bose SoundLink Speaker,TX000049,Female,7,434.75,Dire Dawa,2024-01-03 00:00:00,Electronics
CID00050,Monopoly Board Game,TX000050,Male,6,225.58,Bahir Dar,2024-01-03 01:00:00,Toys
CID00051,Wilson Tennis Racket,TX000051,Female,5,125.31,Dire Dawa,2024-01-03 02:00:00,Sports
CID00052,Nike Air Max,TX000052,Male,9,294.0,Bahir Dar,2024-01-03 03:00:00,Clothing
CID00053,Dell XPS 13 Laptop,TX000053,Male,4,279.53,Hawassa,2024-01-03 04:00:00,Electronics
CID00054,Levi’s Jacket,TX000054,Male,4,133.56,Dire Dawa,2024-01-03 05:00:00,Clothing
CID00055,Asus ROG Gaming Laptop,TX000055,Male,4,201.69,Bahir Dar,2024-01-03 06:00:00,Electronics
